month,mrr,mom_growth_pct
2024-01-01,601,
2024-02-01,3479,478.8685524126456
2024-03-01,5953,71.1123886174188
2024-04-01,9601,61.280026877204776
2024-05-01,12894,34.298510571815434
2024-06-01,16895,31.029936404529245
2024-07-01,21281,25.960343296833386
2024-08-01,24993,17.44278934260608
2024-09-01,29299,17.2288240707398
2024-10-01,33314,13.703539369944373
2024-11-01,38633,15.966260431050006
2024-12-01,42134,9.062200709238223
2025-01-01,44766,6.246736602268954
2025-02-01,47741,6.645668587767495
2025-03-01,50417,5.605244967637879
2025-04-01,51915,2.971220024991572
2025-05-01,55287,6.4952325917364995
2025-06-01,56175,1.6061641977318297
2025-07-01,56599,0.7547841566533098
2025-08-01,56463,-0.24028693086450836
2025-09-01,56713,0.44276783026051536
2025-10-01,57409,1.227231851603694
2025-11-01,56768,-1.1165496699123811
2025-12-01,55352,-2.4943630214205204
